# Id, RA, Dec, z, logmbh,f,h,h_upp,h_low,M_err
SDSS_J142301.96+101500.1,14 23 02.0,+10 15 00.0,1.052,9.46,1.88E-08,8.85E-17,8.86E-17,6.83E-17,0
HS_0946+4845,09 50 00.7,+48 31 29.9,0.589,8.59,1.46E-08,2.51E-17,7.88E-17,7.98E-18,0.286209
SDSS_J150450.16+012215.5,15 04 50.2,+01 22 15.8,0.967,9.2,1.34E-08,2.38E-17,7.35E-17,7.68E-18,0.290114
SDSS_J144755.57+100040.0,14 47 55.6,+10 00 40.4,0.678,8.93,2.69E-08,2.34E-17,7.34E-17,7.45E-18,0.293503
SDSS_J094715.56+631716.4,09 47 15.6,+63 17 17.3,0.487,9.22,1.34E-08,7.24E-17,7.24E-17,5.64E-17,0
SDSS_J083349.55+232809.0,08 33 49.6,+23 28 09.2,1.155,9.4,2.13E-08,6.81E-17,6.81E-17,5.23E-17,0
3C_298.0,14 19 08.2,+06 28 35.1,1.437,9.57,1.18E-08,6.72E-17,6.73E-17,5.23E-17,0
SDSS_J081617.73+293639.6,08 16 17.8,+29 36 40.7,0.768,9.77,1.99E-08,2.06E-17,6.56E-17,6.48E-18,0.301486
FBQS_J17239+3748,17 23 54.3,+37 48 41.7,0.828,9.38,1.18E-08,6.43E-17,6.43E-17,4.97E-17,0
SDSS_J155647.78+181531.5,15 56 47.8,+18 15 32.1,1.502,9.51,1.62E-08,6.24E-17,6.24E-17,4.85E-17,0
SDSS_J094450.76+151236.9,09 44 50.7,+15 12 37.5,2.118,9.61,1.62E-08,6.00E-17,6.00E-17,4.64E-17,0
SDSS_J131909.08+090814.7,13 19 09.1,+09 08 15.1,0.882,8.67,1.78E-08,1.82E-17,5.96E-17,5.55E-18,0.3
SDSS_J091554.50+352949.6,09 15 54.5,+35 29 49.9,0.896,9.05,1.69E-08,1.83E-17,5.87E-17,5.72E-18,0.294334
SDSS_J121018.66+185726.0,12 10 18.7,+18 57 27.0,1.516,9.53,1.32E-08,5.81E-17,5.82E-17,4.51E-17,0
SDSS_J082827.84+400333.9,08 28 27.8,+40 03 34.1,0.968,8.87,1.23E-08,1.77E-17,5.68E-17,5.54E-18,0.290123
CSO_67,11 03 27.5,+29 48 11.2,0.909,9.35,1.11E-08,1.83E-17,5.54E-17,6.07E-18,0.289154
BZQJ0842+4525,08 42 15.3,+45 25 45.0,1.408,9.48,1.23E-08,5.02E-17,5.02E-17,3.89E-17,0
SDSS_J104941.01+085548.4,10 49 41.0,+08 55 48.5,1.185,9.37,1.62E-08,4.90E-17,4.90E-17,3.79E-17,0
SDSS_J124119.04+203452.7,12 41 19.0,+20 34 53.4,1.492,9.4,1.90E-08,4.59E-17,4.59E-17,3.59E-17,0
SDSS_J081133.43+065558.1,08 11 33.4,+06 55 58.3,1.266,9.39,1.46E-08,4.54E-17,4.55E-17,3.51E-17,0
SDSS_J133631.45+175613.8,13 36 31.4,+17 56 14.1,0.421,9.03,1.48E-08,4.44E-17,4.44E-17,3.43E-17,0
SDSS_J114438.34+262609.4,11 44 38.3,+26 26 10.1,0.974,9.38,1.76E-08,1.33E-17,4.35E-17,4.09E-18,0.299174
UM_234,00 23 03.2,+01 15 33.9,0.729,9.19,1.27E-08,1.27E-17,4.33E-17,3.71E-18,0.302223
US_3204,02 49 28.9,+01 09 25.0,0.954,8.95,1.39E-08,1.45E-17,4.30E-17,4.87E-18,0.282689
SDSS_J121457.39+132024.3,12 14 57.4,+13 20 24.5,1.494,9.46,1.20E-08,4.25E-17,4.25E-17,3.29E-17,0
SDSS_J082121.88+250817.5,08 21 22.0,+25 08 16.2,1.906,9.53,1.23E-08,4.18E-17,4.18E-17,3.25E-17,0
SDSS_J123821.84+030024.2,12 38 21.8,+03 00 24.6,0.38,8.92,1.85E-08,3.81E-17,3.81E-17,2.94E-17,0
SDSS_J113050.21+261211.4,11 30 50.2,+26 12 11.8,1.012,9.32,1.07E-08,3.73E-17,3.73E-17,2.93E-17,0
SDSS_J152157.02+181018.6,15 21 57.0,+18 10 19.2,0.731,7.95,1.18E-08,9.78E-18,3.19E-17,3.00E-18,0.309661
SDSS_J133654.44+171040.3,13 36 54.4,+17 10 40.8,1.231,9.24,1.64E-08,2.86E-17,2.86E-17,2.22E-17,0
